"cell_type","conf_score","proteins_used","top_10_avg_prot_tested","top_result","top_enrich","top_pval","top_adj_pval","top_tiss_result","top_tiss_enrich","top_tiss_pval","top_tiss_adj_pval"
"BRAIN cholinergic neurons",4.69,7,3,"SMALL INTESTINE - glandular cells",33.5,0.269365317341329,1,"CEREBRAL CORTEX - neuronal cells",24.75,0.311844077961019,1
"CONNECTIVE TISSUE chondrocytes",26,51,23.5,"TONSIL - squamous epithelial cells",26,0.145427286356822,1,"SOFT TISSUE - chondrocytes",22,0.000499750124937531,0.0434782608695652
"BRAIN choroid plexus cells",21.21,21,7,"GALLBLADDER - glandular cells",50.5,0.289355322338831,1,"CEREBRAL CORTEX - neuropil",32.5,1,1
"ADRENAL GLANDS chromaffin cells",16.125,25,11.3333333333333,"ADRENAL GLAND - glandular cells",32.25,0.00949525237381309,0.7976011994003,"ADRENAL GLAND - glandular cells",32.25,0.00949525237381309,0.7976011994003
"LUNG ciliated cells",28.2,15,7.83333333333333,"BRONCHUS - respiratory epithelial cells",94,0.000499750124937531,0.0369815092453773,"LUNG - macrophages",3,0.664167916041979,1
"LUNG clara cells",16.94,22,13,"BRONCHUS - respiratory epithelial cells",38.5,0.0359820089955022,1,"LUNG - pneumocytes",34.25,0.000999500249875062,0.0739630184907546
"GI TRACT crypt cells",14.72,16,7,"SMALL INTESTINE - glandular cells",46,1.1,1.1,"SMALL INTESTINE - glandular cells",46,1.1,1.1
"REPRODUCTIVE decidual cells",6.75,9,3.5,"BONE MARROW - hematopoietic cells",37.5,0.0849575212393803,1,"OVARY - follicle cells",0,1,1
"PANCREAS delta cells",47.85,33,10,"PANCREAS - islets of Langerhans",72.5,0.000499750124937531,0.0414792603698151,"PANCREAS - islets of Langerhans",72.5,0.000499750124937531,0.0414792603698151
"IMMUNE SYSTEM dendritic cells",44.25,121,74.8333333333333,"LYMPH NODE - non-germinal center cells",44.25,0.000499750124937531,0.0369815092453773,"LYMPH NODE - non-germinal center cells",44.25,0.000499750124937531,0.0369815092453773
"KIDNEY distal tubule cells",51.45,42,19.8333333333333,"KIDNEY - cells in tubules",61.25,0.000499750124937531,0.0369815092453773,"KIDNEY - cells in tubules",61.25,0.000499750124937531,0.0369815092453773
"BRAIN dopaminergic neurons",11.55,21,6.66666666666667,"CEREBELLUM - Purkinje cells",27.5,0.0354822588705647,1,"CEREBELLUM - Purkinje cells",27.5,0.0354822588705647,1
"PANCREAS ductal cells",41.71,43,36,"GALLBLADDER - glandular cells",48.5,0.000499750124937531,0.0369815092453773,"PANCREAS - exocrine glandular cells",33.75,0.000499750124937531,0.0369815092453773
"ZYGOTE embryonic stem cells",39,83,39.6666666666667,"NASOPHARYNX - respiratory epithelial cells",39,0.264367816091954,1,"tissue not found",NA,NA,NA
"VASCULATURE endothelial cells",36.5,185,70.6666666666667,"COLON - endothelial cells",36.5,0.000499750124937531,0.0389805097451274,"tissue not found",NA,NA,NA
"VASCULATURE endothelial cells (aorta)",34.25,89,23,"PLACENTA - trophoblastic cells",34.25,0.0444777611194403,1,"COLON - endothelial cells",33.5,0.000999500249875062,0.0729635182408796
"VASCULATURE endothelial cells (blood brain barrier)",10.56,16,6,"SEMINAL VESICLE - glandular cells",33,0.274362818590705,1,"CEREBRAL CORTEX - endothelial cells",21.25,0.00549725137431284,0.40679660169915
"GI TRACT enteric glia cells",13.6,17,9.66666666666667,"COLON - peripheral nerve/ganglion",40,1,1,"COLON - peripheral nerve/ganglion",40,1,1
"GI TRACT enteric neurons",14,16,4,"CEREBELLUM - Purkinje cells",43.75,0.207896051974013,1,"COLON - peripheral nerve/ganglion",18.75,0.11544227886057,1
"BLOOD erythroid-like and erythroid precursor cells",49.5,51,28,"BONE MARROW - hematopoietic cells",49.5,0.000499750124937531,0.0369815092453773,"BONE MARROW - hematopoietic cells",49.5,0.000499750124937531,0.0369815092453773
"CONNECTIVE TISSUE erythroid-like and erythroid precursor cells",2,1,0,"KIDNEY - cells in tubules",100,1.1,1.1,"SOFT TISSUE - chondrocytes",100,1.1,1.1
"CONNECTIVE TISSUE fibroblasts",42.57,43,23,"PLACENTA - decidual cells",49.5,1,1,"SOFT TISSUE - fibroblasts",33.5,1,1
"THYROID follicular cells",17.36,14,8,"THYROID GLAND - glandular cells",62,0.000499750124937531,0.0369815092453773,"THYROID GLAND - glandular cells",62,0.000499750124937531,0.0369815092453773
"GI TRACT foveolar cells",28.14,21,18,"STOMACH - glandular cells",67,0.000499750124937531,0.0369815092453773,"SMALL INTESTINE - glandular cells",35,0.0744627686156921,1
"BRAIN gabaergic neurons",11.25,15,10,"CEREBELLUM - Purkinje cells",37.5,0.00599700149925037,0.533733133433283,"CEREBELLUM - Purkinje cells",37.5,0.00599700149925037,0.533733133433283
"PANCREAS gamma (pp) cells",21.6,27,10,"PANCREAS - islets of Langerhans",40,0.000499750124937531,0.0449775112443778,"PANCREAS - islets of Langerhans",40,0.000499750124937531,0.0449775112443778
"IMMUNE SYSTEM gamma delta t cells",50.895,39,25.5,"BONE MARROW - hematopoietic cells",65.25,0.000499750124937531,0.0369815092453773,"BONE MARROW - hematopoietic cells",65.25,0.000499750124937531,0.0369815092453773
"GI TRACT gastric chief cells",12,10,5,"PANCREAS - exocrine glandular cells",60,0.095952023988006,1,"DUODENUM - glandular cells",50,1,1
"REPRODUCTIVE germ cells",17,143,69.6666666666667,"BRONCHUS - respiratory epithelial cells",17,0.000499750124937531,0.0399800099950025,"OVARY - follicle cells",2.25,0.00149925037481259,0.113943028485757
"NA glomus cells",15.96,28,12.6666666666667,"COLON - peripheral nerve/ganglion",28.5,0.00699650174912544,0.531734132933533,"tissue not found",NA,NA,NA
"BRAIN glutaminergic neurons",9.3,10,6.83333333333333,"CEREBRAL CORTEX - neuropil",46.5,0.04047976011994,1,"CEREBRAL CORTEX - neuropil",46.5,0.04047976011994,1
"BRAIN glycinergic neurons",4,2,0,"RETINA - nerve fibers in inner plexiform layer",100,0.1984007996002,1,"CEREBRAL CORTEX - neuropil",50,0.140429785107446,1
"GI TRACT goblet cells",49.175,35,22,"RECTUM - glandular cells",70.25,0.000499750124937531,0.0369815092453773,"RECTUM - glandular cells",70.25,0.000499750124937531,0.0369815092453773
"REPRODUCTIVE granulosa cells",14.96,16,8.5,"PLACENTA - trophoblastic cells",46.75,0.00149925037481259,0.116941529235382,"OVARY - follicle cells",16.5,0.0209895052473763,1
"BONE hematopoietic stem cells",35.5,88,39.8333333333333,"KIDNEY - cells in tubules",35.5,1,1,"BONE MARROW - hematopoietic cells",34.25,0.000499750124937531,0.0374812593703148
"LIVER hepatic stellate cells",32.625,45,17.6666666666667,"SMOOTH MUSCLE - smooth muscle cells",36.25,0.00699650174912544,0.503748125937032,"LIVER - hepatocytes",11.75,0.156921539230385,1
"LIVER hepatoblasts",19.55,17,10,"KIDNEY - cells in tubules",57.5,0.136431784107946,1,"LIVER - hepatocytes",32.5,0.318340829585207,1
"LIVER hepatocytes",51.75,148,86.8333333333333,"LIVER - hepatocytes",51.75,0.000499750124937531,0.0369815092453773,"LIVER - hepatocytes",51.75,0.000499750124937531,0.0369815092453773
"HEART MUSCLE his bundle cells",6,3,0,"PLACENTA - trophoblastic cells",100,1.1,1.1,"HEART MUSCLE - myocytes",0,1.1,1.1
"BRAIN immature neurons",27.93,38,14,"CEREBELLUM - cells in granular layer",36.75,0.000499750124937531,0.0429785107446277,"CEREBELLUM - cells in granular layer",36.75,0.000499750124937531,0.0429785107446277
"KIDNEY intercalated cells",34,25,11,"KIDNEY - cells in tubules",68,0.000499750124937531,0.0369815092453773,"KIDNEY - cells in tubules",68,0.000499750124937531,0.0369815092453773
"BRAIN interneurons",36.25,216,84.8333333333333,"CEREBRAL CORTEX - neuronal cells",36.25,0.000499750124937531,0.0499750124937531,"CEREBRAL CORTEX - neuronal cells",36.25,0.000499750124937531,0.0499750124937531
"LUNG ionocytes",6.875,11,4,"BRONCHUS - respiratory epithelial cells",31.25,0.107446276861569,1,"LUNG - macrophages",0,1,1
"KIDNEY juxtaglomerular cells",9,6,3.5,"SMOOTH MUSCLE - smooth muscle cells",75,0.000999500249875062,0.0759620189905047,"KIDNEY - cells in glomeruli",6.25,0.129435282358821,1
"SKIN keratinocytes",56.4,48,32,"SKIN - epidermal cells",58.75,0.000499750124937531,0.0389805097451274,"SKIN - epidermal cells",58.75,0.000499750124937531,0.0389805097451274
"KIDNEY kidney progenitor cells",9.625,7,4,"EPIDIDYMIS - glandular cells",68.75,0.00749625187406297,0.55472263868066,"KIDNEY - cells in tubules",37.5,0.303348325837081,1
"LIVER kupffer cells",47.475,45,17.8333333333333,"LUNG - macrophages",52.75,0.000499750124937531,0.0369815092453773,"LIVER - hepatocytes",10.5,1,1
"SKIN langerhans cells",27.3,26,17,"TONSIL - non-germinal center cells",52.5,0.000499750124937531,0.0369815092453773,"SKIN - Langerhans",51.5,0.000499750124937531,0.0369815092453773
"REPRODUCTIVE leydig cells",36.75,54,16,"ADRENAL GLAND - glandular cells",36.75,0.00199900049975012,0.181909045477261,"OVARY - follicle cells",4.5,0.168915542228886,1
"KIDNEY loop of henle cells",45,53,17,"KIDNEY - cells in tubules",45,0.00199900049975012,0.147926036981509,"KIDNEY - cells in tubules",45,0.00199900049975012,0.147926036981509
"MAMMARY GLAND luminal epithelial cells",53.04,48,30.3333333333333,"NASOPHARYNX - respiratory epithelial cells",55.25,0.00349825087456272,0.241379310344828,"BREAST - glandular cells",38.75,0.000499750124937531,0.0369815092453773
"REPRODUCTIVE luteal cells",28.35,27,10,"ADRENAL GLAND - glandular cells",52.5,0.0214892553723138,1,"OVARY - ovarian stroma cells",20,1,1
"IMMUNE SYSTEM macrophages",49.5,128,54.5,"BONE MARROW - hematopoietic cells",49.5,0.000499750124937531,0.0369815092453773,"BONE MARROW - hematopoietic cells",49.5,0.000499750124937531,0.0369815092453773
"MAMMARY GLAND mammary epithelial cells",38.7,43,28,"SALIVARY GLAND - glandular cells",45,0.0219890054972514,1,"BREAST - glandular cells",39,0.0079960019990005,0.591704147926037
"IMMUNE SYSTEM mast cells",27.5,142,49,"BONE MARROW - hematopoietic cells",27.5,0.000999500249875062,0.0809595202398801,"BONE MARROW - hematopoietic cells",27.5,0.000999500249875062,0.0809595202398801
"IMMUNE SYSTEM megakaryocytes",44.88,48,27.8333333333333,"BONE MARROW - hematopoietic cells",46.75,0.000499750124937531,0.0414792603698151,"BONE MARROW - hematopoietic cells",46.75,0.000499750124937531,0.0414792603698151
"SKIN melanocytes",47.8,40,21.5,"SKIN - melanocytes",59.75,0.000499750124937531,0.0464767616191904,"SKIN - melanocytes",59.75,0.000499750124937531,0.0464767616191904
"BRAIN meningeal cells",8.1,18,10,"BRONCHUS - respiratory epithelial cells",22.5,1,1,"CEREBRAL CORTEX - endothelial cells",22.5,1,1
"SKIN merkel cells",23.2,16,9,"SMALL INTESTINE - glandular cells",72.5,0.0254872563718141,1,"SKIN - epidermal cells",22,1,1
"KIDNEY mesangial cells",33.75,57,24,"KIDNEY - cells in glomeruli",33.75,0.000499750124937531,0.0379810094952524,"KIDNEY - cells in glomeruli",33.75,0.000499750124937531,0.0379810094952524
"EPITHELIUM mesothelial cells",40.5,52,23.1666666666667,"FALLOPIAN TUBE - glandular cells",40.5,0.0299850074962519,1,"tissue not found",NA,NA,NA
"GI TRACT microfold cells",30.15,30,19,"GALLBLADDER - glandular cells",50.25,0.262368815592204,1,"DUODENUM - glandular cells",34.25,1,1
"BRAIN microglia",51,71,34,"BONE MARROW - hematopoietic cells",51,0.000499750124937531,0.0369815092453773,"CEREBRAL CORTEX - neuronal cells",14.25,0.395802098950525,1
"IMMUNE SYSTEM monocytes",60.25,99,55,"BONE MARROW - hematopoietic cells",60.25,0.000499750124937531,0.0369815092453773,"BONE MARROW - hematopoietic cells",60.25,0.000499750124937531,0.0369815092453773
"BRAIN motor neurons",4.42,13,5.16666666666667,"COLON - peripheral nerve/ganglion",17,1,1,"CAUDATE - glial cells",0,1,1
"EYE mã¼ller cells",27.5,50,28,"STOMACH - glandular cells",27.5,1,1,"RETINA - cells in inner nuclear layer ",6,0.110444777611194,1
"IMMUNE SYSTEM myeloid-derived suppressor cells",21,15,10,"BONE MARROW - hematopoietic cells",70,0.000499750124937531,0.0369815092453773,"BONE MARROW - hematopoietic cells",70,0.000499750124937531,0.0369815092453773
"SKELETAL MUSCLE myoblasts",39.6,33,9.83333333333333,"SKELETAL MUSCLE - myocytes",60,0.000499750124937531,0.0369815092453773,"SKELETAL MUSCLE - myocytes",60,0.000499750124937531,0.0369815092453773
"SKELETAL MUSCLE myocytes",54.75,88,54,"SKELETAL MUSCLE - myocytes",54.75,0.000499750124937531,0.0369815092453773,"SKELETAL MUSCLE - myocytes",54.75,0.000499750124937531,0.0369815092453773
"SMOOTH MUSCLE myoepithelial cells",26.26,26,20.6666666666667,"BREAST - myoepithelial cells",50.5,0.000499750124937531,0.0374812593703148,"SMOOTH MUSCLE - smooth muscle cells",30,0.000499750124937531,0.0374812593703148
"SMOOTH MUSCLE myofibroblasts",14.58,9,8,"SMOOTH MUSCLE - smooth muscle cells",81,0.00199900049975012,0.147926036981509,"SMOOTH MUSCLE - smooth muscle cells",81,0.00199900049975012,0.147926036981509
"IMMUNE SYSTEM natural killer t cells",27.255,23,14,"TONSIL - non-germinal center cells",59.25,0.000499750124937531,0.0369815092453773,"TONSIL - non-germinal center cells",59.25,0.000499750124937531,0.0369815092453773
"BRAIN neural stem/precursor cells",33,57,18.8333333333333,"CEREBRAL CORTEX - neuronal cells",33,1,1,"CEREBRAL CORTEX - neuronal cells",33,1,1
"BRAIN neuroblasts",23.5,50,19,"DUODENUM - glandular cells",23.5,0.603698150924538,1,"CEREBRAL CORTEX - neuropil",22.75,0.148425787106447,1
"BRAIN neuroendocrine cells",24.3,27,10,"CEREBRAL CORTEX - neuronal cells",45,0.000499750124937531,0.0419790104947526,"CEREBRAL CORTEX - neuronal cells",45,0.000499750124937531,0.0419790104947526
"BRAIN neurons",45,200,82,"CEREBRAL CORTEX - neuronal cells",45,0.000499750124937531,0.0484757621189405,"CEREBRAL CORTEX - neuronal cells",45,0.000499750124937531,0.0484757621189405
"IMMUNE SYSTEM neutrophils",62.5,69,40,"BONE MARROW - hematopoietic cells",62.5,0.000499750124937531,0.0389805097451274,"BONE MARROW - hematopoietic cells",62.5,0.000499750124937531,0.0389805097451274
"IMMUNE SYSTEM nk cells",49.5,79,35,"SPLEEN - cells in red pulp",49.5,0.000499750124937531,0.0369815092453773,"TONSIL - non-germinal center cells",47.25,0.000499750124937531,0.0369815092453773
"BRAIN noradrenergic neurons",9.6,8,2.16666666666667,"ADRENAL GLAND - glandular cells",60,0.00399800099950025,0.32383808095952,"CAUDATE - neuronal projections",20,1,1
"IMMUNE SYSTEM nuocytes",13.5,12,4,"URINARY BLADDER - urothelial cells",56.25,0.00849575212393803,0.628685657171414,"LYMPH NODE - non-germinal center cells",25,0.387806096951524,1
"OLFACTORY SYSTEM olfactory epithelial cells",49.75,131,34.6666666666667,"FALLOPIAN TUBE - glandular cells",49.75,0.000499750124937531,0.0459770114942529,"tissue not found",NA,NA,NA
"BRAIN oligodendrocyte progenitor cells",18.225,27,14,"CEREBRAL CORTEX - neuropil",33.75,0.000499750124937531,0.0369815092453773,"CEREBRAL CORTEX - neuropil",33.75,0.000499750124937531,0.0369815092453773
"VASCULATURE oligodendrocyte progenitor cells",2,1,0,"CAUDATE - glial cells",100,0.0814592703648176,1,"tissue not found",NA,NA,NA
"VASCULATURE pericytes",13.8,10,4,"ENDOMETRIUM - glandular cells",69,0.00199900049975012,0.145927036481759,"tissue not found",NA,NA,NA
"REPRODUCTIVE peritubular myoid cells",14.5,25,13,"SMOOTH MUSCLE - smooth muscle cells",29,0.0544727636181909,1,"OVARY - ovarian stroma cells",6,0.0609695152423788,1
"EYE photoreceptor cells",36,53,20.3333333333333,"RETINA - cells in photoreceptor layer ",36,1,1,"RETINA - cells in photoreceptor layer ",36,1,1
"BRAIN pinealocytes",27.84,24,10.6666666666667,"RETINA - cells in photoreceptor layer ",58,0.264867566216892,1,"CAUDATE - neuronal cells",4,1,1
"IMMUNE SYSTEM plasma cells",44,67,38.5,"TONSIL - non-germinal center cells",44,0.000499750124937531,0.04047976011994,"TONSIL - non-germinal center cells",44,0.000499750124937531,0.04047976011994
"IMMUNE SYSTEM plasmacytoid dendritic cells",46.25,55,30,"TONSIL - non-germinal center cells",46.25,0.000499750124937531,0.0384807596201899,"TONSIL - non-germinal center cells",46.25,0.000499750124937531,0.0384807596201899
"BLOOD platelets",47.5,130,63.6666666666667,"BONE MARROW - hematopoietic cells",47.5,0.000499750124937531,0.039480259870065,"BONE MARROW - hematopoietic cells",47.5,0.000499750124937531,0.039480259870065
"NA pluripotent stem cells",12.6,20,11,"TONSIL - non-germinal center cells",31.5,0.229385307346327,1,"tissue not found",NA,NA,NA
"KIDNEY podocytes",47.5,94,32,"KIDNEY - cells in glomeruli",47.5,0.000499750124937531,0.0409795102448776,"KIDNEY - cells in glomeruli",47.5,0.000499750124937531,0.0409795102448776
"KIDNEY principal cells",41.79,42,23,"KIDNEY - cells in tubules",49.75,0.000499750124937531,0.0369815092453773,"KIDNEY - cells in tubules",49.75,0.000499750124937531,0.0369815092453773
"KIDNEY proximal tubule cells",70.5,76,53.8333333333333,"KIDNEY - cells in tubules",70.5,0.000499750124937531,0.0424787606196902,"KIDNEY - cells in tubules",70.5,0.000499750124937531,0.0424787606196902
"LUNG pulmonary alveolar type i cells",26.01,34,15,"LUNG - pneumocytes",38.25,0.153423288355822,1,"LUNG - pneumocytes",38.25,0.153423288355822,1
"LUNG pulmonary alveolar type ii cells",32.955,39,26.8333333333333,"LUNG - pneumocytes",42.25,0.000499750124937531,0.0369815092453773,"LUNG - pneumocytes",42.25,0.000499750124937531,0.0369815092453773
"SMOOTH MUSCLE pulmonary vascular smooth muscle cells",4,2,0,"SKIN - fibroblasts",100,1,1,"SMOOTH MUSCLE - smooth muscle cells",0,1,1
"HEART MUSCLE purkinje fiber cells",5.775,5,3,"CAUDATE - neuronal cells",57.75,0.145927036481759,1,"HEART MUSCLE - myocytes",0,1,1
"BRAIN purkinje neurons",39,59,32.5,"CAUDATE - neuronal cells",39,0.000499750124937531,0.0449775112443778,"CAUDATE - neuronal cells",39,0.000499750124937531,0.0449775112443778
"BRAIN pyramidal cells",28.875,35,20,"HIPPOCAMPUS - neuronal cells",41.25,0.000499750124937531,0.0419790104947526,"HIPPOCAMPUS - neuronal cells",41.25,0.000499750124937531,0.0419790104947526
"BRAIN radial glia cells",7.84,14,8,"CAUDATE - glial cells",28,0.00299850074962519,0.24287856071964,"CAUDATE - glial cells",28,0.00299850074962519,0.24287856071964
"IMMUNE SYSTEM red pulp macrophages",16.08,12,3,"LUNG - macrophages",67,0.237881059470265,1,"BONE MARROW - hematopoietic cells",49.5,0.0654672663668166,1
"BLOOD reticulocytes",9,8,4,"BONE MARROW - hematopoietic cells",56.25,0.063968015992004,1,"BONE MARROW - hematopoietic cells",56.25,0.063968015992004,1
"BRAIN retinal ganglion cells",43.5,68,16.8333333333333,"CEREBELLUM - Purkinje cells",43.5,0.00499750124937531,0.444777611194403,"CEREBELLUM - Purkinje cells",43.5,0.00499750124937531,0.444777611194403
"EYE retinal progenitor cells",8.84,13,8,"RECTUM - glandular cells",34,0.353323338330835,1,"RETINA - cells in photoreceptor layer ",31,1,1
"ORAL CAVITY salivary mucous cells",9.31,7,6,"BREAST - myoepithelial cells",66.5,0.000499750124937531,0.0369815092453773,"tissue not found",NA,NA,NA
"SKELETAL MUSCLE satellite cells",34.615,43,19,"NASOPHARYNX - respiratory epithelial cells",40.25,1,1,"SKELETAL MUSCLE - myocytes",27,0.0284857571214393,1
"BRAIN satellite glial cells",15.6,24,10,"CAUDATE - glial cells",32.5,0.000499750124937531,0.0399800099950025,"CAUDATE - glial cells",32.5,0.000499750124937531,0.0399800099950025
"BRAIN schwann cells",26.23,43,25.6666666666667,"CAUDATE - glial cells",30.5,0.0869565217391304,1,"CAUDATE - glial cells",30.5,0.0869565217391304,1
"IMMUNE SYSTEM schwann cells",2,1,0,"CAUDATE - glial cells",100,0.0954522738630685,1,"BONE MARROW - hematopoietic cells",0,1,1
"IMMUNE SYSTEM t regulatory cells",11.69,14,3,"LYMPH NODE - non-germinal center cells",41.75,0.0129935032483758,0.948525737131434,"LYMPH NODE - non-germinal center cells",41.75,0.0129935032483758,0.948525737131434
"BRAIN tanycytes",17.5,25,10,"CEREBRAL CORTEX - neuronal cells",35,0.0794602698650675,1,"CEREBRAL CORTEX - neuronal cells",35,0.0794602698650675,1
"NA taste receptor cells",17.4,20,7,"DUODENUM - glandular cells",43.5,1,1,"tissue not found",NA,NA,NA
"THYMUS thymocytes",23.32,22,16,"LYMPH NODE - non-germinal center cells",53,0.000499750124937531,0.0374812593703148,"THYMUS - cortical cells",3,NA,NA
"KIDNEY transient cells",35.64,22,8,"KIDNEY - cells in tubules",81,0.063968015992004,1,"KIDNEY - cells in tubules",81,0.063968015992004,1
"SKIN trichocytes",9.6,6,4.33333333333333,"HAIR - cells in cortex/medulla",80,0.0389805097451274,1,"SKIN - epidermal cells",5,1,1
"BRAIN trigeminal neurons",33.75,45,17.6666666666667,"CEREBRAL CORTEX - neuropil",37.5,0.0254872563718141,1,"CEREBRAL CORTEX - neuropil",37.5,0.0254872563718141,1
"EMBRYO trophoblast cells",33.17,31,16,"PLACENTA - trophoblastic cells",53.5,0.000999500249875062,0.0859570214892554,"tissue not found",NA,NA,NA
"EMBRYO trophoblast progenitor cells",3,3,2,"PLACENTA - trophoblastic cells",50,0.0689655172413793,1,"tissue not found",NA,NA,NA
"EMBRYO trophoblast stem cells",2,1,0,"SKIN - keratinocytes",100,1.1,1.1,"tissue not found",NA,1.1,1.1
"GI TRACT tuft cells",25.08,33,16.8333333333333,"DUODENUM - glandular cells",38,0.0789605197401299,1,"DUODENUM - glandular cells",38,0.0789605197401299,1
"PLACENTA undefined placental cells",14.04,12,6,"PLACENTA - trophoblastic cells",58.5,0.0144927536231884,1,"PLACENTA - trophoblastic cells",58.5,0.0144927536231884,1
"URINARY BLADDER urothelial cells",12.76,11,6,"URINARY BLADDER - urothelial cells",58,0.000499750124937531,0.0369815092453773,"URINARY BLADDER - urothelial cells",58,0.000499750124937531,0.0369815092453773
"SMOOTH MUSCLE vascular smooth muscle cells",10.5,6,4,"BREAST - myoepithelial cells",87.5,0.00149925037481259,0.107946026986507,"SMOOTH MUSCLE - smooth muscle cells",62.5,0.00549725137431284,0.390304847576212
