tissue_cell,proteins,detected,det_o_test,amount_tested
BRONCHUS - respiratory epithelial cells,12951,9153,0.706740792,"between 701-15,000"
TESTIS - cells in seminiferous ducts,12837,9242,0.719950144,"between 701-15,000"
PARATHYROID GLAND - glandular cells,12814,7310,0.570469799,"between 701-15,000"
APPENDIX - lymphoid tissue,12791,6071,0.4746306,"between 701-15,000"
NASOPHARYNX - respiratory epithelial cells,12791,8916,0.697052615,"between 701-15,000"
PANCREAS - islets of Langerhans,12777,6927,0.542146044,"between 701-15,000"
LYMPH NODE - germinal center cells,12635,6053,0.479066086,"between 701-15,000"
"CERVIX, UTERINE - glandular cells",12623,7037,0.557474451,"between 701-15,000"
"CERVIX, UTERINE - squamous epithelial cells",12370,6639,0.536701698,"between 701-15,000"
COLON - peripheral nerve/ganglion,10995,6371,0.579445202,"between 701-15,000"
PLACENTA - decidual cells,10130,5844,0.576900296,"between 701-15,000"
SOFT TISSUE - chondrocytes,8600,3635,0.422674419,"between 701-15,000"
OVARY - follicle cells,7620,4020,0.527559055,"between 701-15,000"
TESTIS - elongated or late spermatids,597,399,0.668341709,between 51-700
TESTIS - pachytene spermatocytes,597,396,0.663316583,between 51-700
TESTIS - peritubular cells,597,81,0.135678392,between 51-700
TESTIS - preleptotene spermatocytes,597,344,0.576214405,between 51-700
TESTIS - round or early spermatids,597,442,0.740368509,between 51-700
TESTIS - sertoli cells,597,111,0.185929648,between 51-700
TESTIS - spermatogonia cells,597,331,0.554438861,between 51-700
RETINA - cells in inner nuclear layer ,92,14,0.152173913,between 51-700
RETINA - cells in photoreceptor layer ,92,64,0.695652174,between 51-700
RETINA - limiting membrane,92,7,0.076086957,between 51-700
RETINA - nerve fibers in nerve fiber layer,92,23,0.25,between 51-700
RETINA - nerve fibers in inner plexiform layer,91,19,0.208791209,between 51-700
RETINA - ganglion cells ,90,8,0.088888889,between 51-700
RETINA - nerve fibers in outer plexiform layer ,90,26,0.288888889,between 51-700
RETINA - pigment epithelium,78,6,0.076923077,between 51-700
CEREBRAL CORTEX - neuronal projections,62,31,0.5,between 51-700
CEREBRAL CORTEX - synapses,58,16,0.275862069,between 51-700
ADRENAL GLAND - cells in zona glomerulosa,55,23,0.418181818,between 51-700
ADRENAL GLAND - medullary cells,55,32,0.581818182,between 51-700
ADRENAL GLAND - cells in zona fasciculata,54,20,0.37037037,between 51-700
ADRENAL GLAND - cells in zona reticularis,54,18,0.333333333,between 51-700
PITUITARY GLAND - cells in anterior ,54,51,0.944444444,between 51-700
HAIR - cells in external root sheath,43,7,0.162790698,less than or equal to 50
HAIR - cells in cortex/medulla,42,20,0.476190476,less than or equal to 50
HAIR - cells in cuticle,41,8,0.195121951,less than or equal to 50
HAIR - cells in internal root sheath,41,15,0.365853659,less than or equal to 50
HYPOTHALAMUS - neuronal projections,40,30,0.75,less than or equal to 50
HYPOTHALAMUS - glial cells,39,5,0.128205128,less than or equal to 50
HYPOTHALAMUS - neuronal cells,39,27,0.692307692,less than or equal to 50
HYPOTHALAMUS - synapses,39,13,0.333333333,less than or equal to 50
CAUDATE - neuronal projections,35,16,0.457142857,less than or equal to 50
CAUDATE - synapses,35,18,0.514285714,less than or equal to 50
EYE - lens fiber cells,28,22,0.785714286,less than or equal to 50
EYE - corneal epithelial cells,26,3,0.115384615,less than or equal to 50
EYE - hyaloid membrane,26,3,0.115384615,less than or equal to 50
EYE - lens epithelial cells,25,0,0,less than or equal to 50
HIPPOCAMPUS - neuronal projections,21,6,0.285714286,less than or equal to 50
HIPPOCAMPUS - synapses,21,12,0.571428571,less than or equal to 50
THYMUS - cortical cells,18,18,1,less than or equal to 50
THYMUS - medullary cells,18,17,0.944444444,less than or equal to 50
LACTATING BREAST - lactating glandular cells,10,10,1,less than or equal to 50
SKIN - sebaceous cells,10,6,0.6,less than or equal to 50
SKIN - secretory cells,10,6,0.6,less than or equal to 50
SKIN - sweat ducts,10,4,0.4,less than or equal to 50
LACTATING BREAST - ductal cells,9,4,0.444444444,less than or equal to 50
CARTILAGE - chondrocytes,8,8,1,less than or equal to 50
PITUITARY GLAND - cells in posterior ,7,2,0.285714286,less than or equal to 50
CEREBELLUM - cells in dentate nucleus,3,1,0.333333333,less than or equal to 50
CEREBELLUM - glial cells,3,0,0,less than or equal to 50
CEREBELLUM - neuronal projections,3,3,1,less than or equal to 50
CEREBELLUM - synapses,3,3,1,less than or equal to 50
DORSAL RAPHE - glial cells,3,0,0,less than or equal to 50
DORSAL RAPHE - neuronal cells,3,3,1,less than or equal to 50
DORSAL RAPHE - neuronal projections,3,3,1,less than or equal to 50
DORSAL RAPHE - synapses,3,3,1,less than or equal to 50
CHOROID PLEXUS - ependymal cells,1,1,1,less than or equal to 50
SOLE OF FOOT - epidermal cells,1,1,1,less than or equal to 50
SUBSTANTIA NIGRA - glial cells,1,0,0,less than or equal to 50
SUBSTANTIA NIGRA - neuronal cells,1,1,1,less than or equal to 50
SUBSTANTIA NIGRA - neuronal projections,1,1,1,less than or equal to 50
SUBSTANTIA NIGRA - synapses,1,1,1,less than or equal to 50
