"cell_type","percent_high_expression","percent_medium_expression","percent_low_expression","percent_not_detected","number_of_proteins","tested_proteins","detected_proteins","staining_score","p_val","p_val_adj"
"ADRENAL GLAND - glandular cells",0.03,0.03,0.06,0.88,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, GSTA1, MS4A8, TEKT2",6,"0.262","1.000"
"KIDNEY - cells in tubules",0.03,0,0.12,0.85,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CCDC114, ERN2, GSTA1, MS4A8, TEKT2",6,"0.097","1.000"
"CAUDATE - glial cells",0.03,0,0.09,0.88,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","RSPH1, SPAG6, STOML3, TEKT2",5.25,"0.139","1.000"
"SALIVARY GLAND - glandular cells",0,0.06,0.09,0.85,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CCDC114, ERN2, MUC5B, TEKT2, TEKT4",5.25,"0.603","1.000"
"LIVER - hepatocytes",0.03,0,0.06,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","GSTA1, MS4A8, TEKT2",4.5,"0.254","1.000"
"EPIDIDYMIS - glandular cells",0,0,0.15,0.85,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CCDC114, ERN2, GSTA1, MS4A8, TEKT2",3.75,"0.419","1.000"
"BREAST - glandular cells",0,0.03,0.06,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, GSTA1, TEKT2",3,"1.000","1.000"
"CAUDATE - neuronal cells",0,0,0.12,0.85,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CDHR4, ERN2, MS4A8, TEKT2",3,"0.168","1.000"
"HEART MUSCLE - myocytes",0,0,0.12,0.88,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","DNAH9, ERN2, MS4A8, TEKT2",3,"0.719","1.000"
"HIPPOCAMPUS - neuronal cells",0,0,0.12,0.88,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CDHR4, ERN2, MS4A8, TEKT2",3,"0.150","1.000"
"LUNG - macrophages",0,0,0.12,0.88,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ALOX15, ERN2, MS4A8, TEKT2",3,"1.000","1.000"
"LYMPH NODE - non-germinal center cells",0,0.03,0.06,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ALOX15, ERN2, TEKT4",3,"0.533","1.000"
"PANCREAS - exocrine glandular cells",0,0.03,0.06,0.88,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, VWA3B, ZBBX","ERN2, GSTA1, TEKT2",3,"0.627","1.000"
"TONSIL - germinal center cells",0,0.03,0.06,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, MS4A8, TEKT4",3,"0.383","1.000"
"TONSIL - non-germinal center cells",0,0.06,0,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ALOX15, ERN2",3,"0.521","1.000"
"URINARY BLADDER - urothelial cells",0,0.03,0.06,0.82,30,"ADGB, ALOX15, ARMC3, BPIFA1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, FAM183A, FAM92B, GSTA1, MS4A8, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","MS4A8, TEKT2, TEKT4",3,"0.683","1.000"
"BONE MARROW - hematopoietic cells",0,0.03,0.03,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ALOX15, MS4A8",2.25,"0.361","1.000"
"CEREBELLUM - Purkinje cells",0,0,0.09,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, MS4A8, TEKT2",2.25,"0.149","1.000"
"CEREBRAL CORTEX - neuronal cells",0,0,0.09,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CDHR4, MS4A8, TEKT2",2.25,"0.103","1.000"
"COLON - endothelial cells",0,0.03,0.03,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","MS4A8, TEKT2",2.25,"1.000","1.000"
"KIDNEY - cells in glomeruli",0,0.03,0.03,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, TEKT2",2.25,"1.000","1.000"
"PANCREAS - islets of Langerhans",0,0,0.09,0.88,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, VWA3B, ZBBX","CCDC114, ERN2, MS4A8",2.25,"1.000","1.000"
"PLACENTA - trophoblastic cells",0,0,0.09,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, MS4A8, TEKT2",2.25,"0.389","1.000"
"PROSTATE - glandular cells",0,0.03,0.03,0.91,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","FAM183A, TEKT2",2.25,"1.000","1.000"
"SKELETAL MUSCLE - myocytes",0,0,0.09,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","BPIFB1, CDHR4, ERN2",2.25,"0.247","1.000"
"SPLEEN - cells in red pulp",0,0.03,0.03,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ALOX15, CDHR4",2.25,"0.518","1.000"
"TONSIL - squamous epithelial cells",0,0,0.09,0.91,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","MS4A8, TEKT2, TEKT4",2.25,"0.416","1.000"
"BREAST - myoepithelial cells",0,0,0.06,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","GSTA1, MS4A8",1.5,"1.000","1.000"
"CEREBRAL CORTEX - glial cells",0,0,0.06,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, TEKT2",1.5,"0.395","1.000"
"COLON - peripheral nerve/ganglion",0,0.03,0,0.73,25,"ALOX15, ARMC3, BPIFA1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAI1, DYDC2, EFCAB1, ERN2, FAM92B, GSTA1, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT4, ZBBX","ERN2",1.5,"0.679","1.000"
"HIPPOCAMPUS - glial cells",0,0,0.06,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, TEKT4",1.5,"0.635","1.000"
"OVARY - ovarian stroma cells",0,0.03,0,0.97,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","GSTA1",1.5,"1.000","1.000"
"PLACENTA - decidual cells",0,0,0.06,0.88,31,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2, TEKT4",1.5,"1.000","1.000"
"SEMINAL VESICLE - glandular cells",0,0,0.06,0.91,32,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, MS4A8",1.5,"1.000","1.000"
"SKIN - epidermal cells",0,0,0.06,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CCDC114, TEKT2",1.5,"0.425","1.000"
"SMOOTH MUSCLE - smooth muscle cells",0,0,0.06,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","BPIFB1, TEKT2",1.5,"0.399","1.000"
"THYROID GLAND - glandular cells",0,0,0.06,0.94,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, TEKT2",1.5,"1.000","1.000"
"ENDOMETRIUM - cells in endometrial stroma",0,0.02,0,0.98,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","TEKT2",1,"1.000","1.000"
